STUDENTID,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22
229,2,5,5,2,4,4,4,4,1,3,3,3,6,6,5,6,6,6,6,6,5,5,6,3,6,2,2,2,1,2,3,6,1,2,1,2,1,1,2,2,1,2,3,1.43,2,2
230,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,1,1,1,2,6,1,1,1,6,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,2,2
231,4,4,3,4,4,4,3,5,4,3,3,4,6,5,3,6,4,6,6,1,6,6,6,3,5,2,2,5,1,2,1,4,1,2,2,2,1,2,2,1,2,1,1,1,2,2
232,5,5,4,3,5,4,3,5,3,2,3,4,5,2,2,4,1,3,4,3,5,5,4,1,2,5,4,3,2.43,1,1,2,1,5,3,2,1,4,5,4,2,4,4,1,2.37,2.32
233,1,2,3,1,1,1,1,1,1,6,1,3,6,5,6,6,5,6,6,3,4,6,6,2,6,2,2.79,2,1,2.87,1,6,1,1,1,1,1,1,2,2,1,1,1,2,2,2
234,1,1,1,1,1,1,1,1,5,6,5,6,6,1,6,1,1,1,1,6,2,1,1,4,6,1,5,2,1,1,2,6,1,1,1,1,1,1,1,1,1,2,2,1,1,1
237,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,3,4,4,4,3,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3
238,1,1,1,1,1,1,1,1,1,6,1,6,6,6,6,1,6,6,5,2,6,5,6,6,2,5,5,3,4,4,3,5,1,1,1,1,1,1,2,1,1,2,1,1,3,3
239,1,5,2,1,5,2,1,5,3,5,1,5,6,6,6,6,6,6,6,3,6,6,5,3,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,2,1
240,1,1,1,1,1,1,1,1,1,5,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,3,1,2,2,5,1,2,2,1,2,2,2,1,2,1,2,2,3,3
241,3,4,3,2,2,2,2,2,1,3,1,4,4,3,3,6,6,6,6,2,6,5,5,4,6,3,3,5,1,3,3,6,1,1,1,1,1,1,1,1,1,5,1,1,5,5
242,3,3,4,2,2,3,2,2,3,4,3,3,4.59,4,3,6,4,5,4,3.7,2,4,5,4,6,2,1,2,1,2,1,6,1,1,1,1,1,1,1,1,1,1,1,1,2,2
243,1,2,4,2.3,4,2,4,2,3,3,4,4,2,2,1,6,5,5.18,1,5,4,4.88,2,2,6,2.85,2.79,3.01,5,2,3,2,4,4,4,4,4,4,4,3,3,2,2,2,1,1
244,2,4,1,2.3,2,2,2,2,4,5,4,6,6,6,6,6,6,6,6,6,6,6,6,4,6,5,5,5,5,5,5,5,2,5,5,3,2,1,4,3,2,3,2,4,5,5
245,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,6,3,2,1,4,6,1,2,2,3,3,3,3,3,4,3,2,4,2,3,2,4,2,4,1.97,1,3,5,1
249,3,2,1,2,4,2.93,3,2,5,4,2,4.06,4.59,4.82,3,3,3,1,2,5,2,2,2,5,5,3,2,3,2.43,2.87,3,4.76,3,1.59,3,3,3,3,3,2,1.34,3,2,2,3,2
250,2,2,3,2,2,2,2,2,4,4,4,5,5,3,5,4,4,6,6,3,5,3,2,4,6,1,1,3,1,1,2,6,1,1,1,1,1,1,1,1,1,1,2,1,4,3
252,6,6,5,5,5,5,5,5,2,1,1,1,1,1,1,6,6,1,3,4,2,2,2,5,2,4,4,4,3,2,5,5,3,3,3,3,2,1,2,4,4,4,3,4,2,1
253,6,4,4,4,5,4,6,4,2,4,1,2,3,4.82,3,5,4,6,5,2,4,6,3,1,4,5,5,5,5,3,4,3,4,4,4,5,4,4,5,4,4,4,4,4,4,4
255,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,3,2,5,5,2,4,5,4,4,6,2,3,3,1,3,3,3,1,3,3,1,1,1,2,2,1,2,1,2,1,1
256,3,3,2,2,3,1,4,4,1,2,4,4,3,5,3,3,3,3,4,3,3,6,5,4,2,4,1,2,2,3,5,3,3,3,2,2,1,5,4,2,3,3,3,3,2,2
257,2,3,3,4,3.11,2,4,2,4,4,6,4,3,5,5,2,2,6,5,2,5,3,2,4,3,2,3,1,2,2,2,5,1,1,1,2,1,1,1,1,1,3,1,1,1,2
258,3,4,3,2,3,3,2,5,3,2,4,3,4,4,3,6,5,6,3,6,3,6,3,3,4,2,1,2,1,2,1,6,1,1,1,3,2,1,1,4,4,4,2,1,1,2
259,6,3,4,3,2,2,4,1,2,3,4,4.06,2,4,3,4,6,6,6,4,4,3,2,3,6,1,1,1,1,1,1,6,4,4,4,3,3,3,3,1,1,1,5,1,3,3
260,3,1,3,1,1,1,1,1,1,3,1,3,3,2,4,6,4,6,6,6,5,6,4,4,6,3,2,1,2,3,1,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1
261,1,1,1,1,3,1,1,1,3,2,2,2,6,6,2,5,5,5,6,6,3,4,5,6,6,1,1,3.01,1,1,1,5,1,1,1,1,1,1,1,1,1,1,2.15,1,1,1
262,4,5,4,2,4,4,2,4,5,6,5,6,6,6,6,6,6,6,5,5,6,6,6,5,6,5,5,5,5,5,5,6,1,1,1,1,1,1,1,1,1,4,1,5,5,5
263,5,4,5,4,5,3,4,4,2,3.47,2,3,4,3,4,2,3,5,4,5,3,2,4,3,6,2,3,3.01,2,3,2,6,1,1,3,3,2,2,3,2,2,2,2,3,1,2
264,2,3,1,1,1,1,1,1,1,4,1,4,1,3,2,3,5,3,5,5,3,6,6,2,6,5,5,5,1,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
268,6,6,6,3,4,5,5,4,3,1,1,1,6,6,4,6,6,6,6,1,6,6,6,3,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,2,1,2,1
269,3,6,4,3,6,4,3,4,2,3,2,4,6,6,6,6,6,6,4,4,5,6,6,6,6,4,1,1,1,4,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
270,1,1,1,1,1,1,1,1,3,4,1,6,3,5,4,6,6,6,6,1,4,5,6,5,6,5,3,2,3,5,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
271,4,3,4,4,3,4,6,3,2,4,4,6,6,6,6,6,6,6,6,2,4,5,6,3,4,3,3,5,1,4,3,5,2,2,1,1,1,1,2,1,2,2,1,2,3,3
272,3,4,3,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,6,2,2,2,2,2,1,5,1,1,2,1,2,1,1,1,1,2,2,2,2,2
273,3,1,2,2,2,2,2,2,1,3,2,3,6,6,6,6,6,6,6,5,6,6,6,2,6,1,2,4,4,2,2,5,1,1,1,1,1,1,1,1,1,1,1,1,3,3
274,1,1,1,2,2,2,2,1,5,4,1,4,2,3,5,5,5,5,5,2,5,6,6,2,5,2,2,3,1,2,2,5,2,1,1,1,1,1,1,1,1,1,1,2,3,2
275,1,1,2,2,2,3,3,3,1,6,1,6,3,3,4,6,2,6,6,3,4,6,6,3,6,1,1,4,1,3,3,4,1,1,1,1,1,1,1,1,1,1,3,1,3,1
276,1,2,4,4,5,6,4,2.99,3,1,3,4,4,4,3,5,4,1,3,3,6,4,6,1,5,4,3,5,4,1,4,2,4,5,4,5,2,1,4,3,1,3,4,5,3,3
277,3,2,4,5,2,6,3,2,5,3,3,1,5,5,6,3,4,3,4,2,2,1,3,2,6,1,1,1,1,1,3,6,1,1,1,1,1,1,1,2,2,1,1,1,2,1
278,4,2,4,1,4,5,1,3,3,3,3,1,6,6,6,6,6,6,6,3,6,6,6,6,2,5,5,4,5,4,5,5,1,2,2,1,2,2,4,2,2,1,1,2,1,3
279,3,5,5,4,5,5,5,5,5,1,5,3,6,6,6,6,6,6,6,1,6,6,6,5,6,1,1,3,1,2,1,6,1,1,1,1,1,1,1,1,2,2,1,1,3,3
282,2,4,4,2,5,5,2,5,2,2,2,5,6,6,6,6,6,6,5,6,6,6,6,6,2,2,5,3,1,3,3,5,1,1,1,2,2,1,5,1,2,5,3,1,2,2
283,2,5,4,4,5,4,4,5,5,1,4,1,6,6,5,6,6,6,6,6,5,5,5,6,6,1,1,5,1,3,1,6,1,1,1,1,1,1,1,1,1,1,1,1,3,2
284,2,2,2,2,4,2,2,5,1,1,1,5,6,6,6,6,6,6,6,3,6,6,6,5,6,2,1,2,1,2,1,6,1,1,1,1,1,1,2,1,1,1,1,1,2,2
285,5,3,5,3,4,6,3,3,6,2,6,3,6,6,6,6,6,6,6,2,6,6,6,5,6,3,3,4,1,4,5,6,3,3,2,1,1,1,3,2,1,1,1,1,3,1
287,5,3,2,1,2,4,1,2,3,3,1,4,3,6,6,6,6,6,6,6,5,5,5,5,6,2,1,3,2,2,2,6,2,1,1,1,1,1,2,1,1,2,3,1,3,3
288,6,6,6,4,6,6,1,6,6,1,6,1,6,6,6,6,6,6,6,1,6,6,6,6,6,5,5,5,5,5,5,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1
289,1,4,1,2.3,2,1,3,4,5,5,1,3,6,6,4,6,6,6,6,4,6,6,6,5,6,2,3,2,5,4,5,4,2,2,2,1,2,1,5,1,3,1,1,2,3,3
290,6,6,6,2,6,6,2,6,6,1,6,1,6,6,1,6,6,6,6,6,6,6,6,6,6,1,2,4,1,5,5,5,2,1,2,1,2,1,2,2,2,2,2,2,4,4
291,4,4,4,1,2,4,1,3,3,3,3,6,6,4,3,6,6,6,6,1,6,5,6,6,6,2,4,4,3,3,4,6,2,1,2,2,2,1,2,1,2,2,3,1,3,3
292,1,1,1,1,1,1,1,1,2,5,1,5,6,6,6,6,5,6,6,3,6,5,6,5,6,2,2,1,2,1,1,6,1,1,1,1,1,1,2,1,1,1,1,1,1,1
294,1,1,1,1,1,1,1,1,1,4,1,6,6,6,6,6,6,6,6,6,6,6,6,4,5,5,5,2,1,2,1,6,1,1,1,1,1,2,5,1,1,3,3,1,2,1
295,3,4,3,4,4,3,4,4,4,4,2,2,5,1,4,4,5,6,3,4,5,3,4,2,6,1,1,1,1,5,5,6,1,1,4,3,2,1,3,3,1,1,1,1,1,1
297,3,3,3,3,3,2,3,3,5,5,4,4,4,4,4,3,3,4,4,4,3,3,3,4,6,3,3,3,3,3,3,4,1,1,1,1,1,1,3,1,1,3,2,1,1,1
298,3,4,4,4,4,4,4,4,4,3,3,3,3,5,3,4,4,5,5,4,5,5,5,2,6,2,1,1,1,1,1,6,1,1,3,1,1,1,1,3,1,4,4,1,2,2
2,3,4,3,3,5,4,5,5,3,3,2,4,4,2,3,4,4,3,4,3,3,4,4,4,4,4,3,4,3,4,4,4,3,3,2,3,3,3,4,3,1.34,2,3,3,4,4
300,3,2,2,1,2,2,1,1,1,2,4,3,4,4,4,4,5,6,6,1,6,6,6,5,6,1,1,1,1,1,1,6,1,1,1,1,2,1,1,1,1,1,1,1,3,3
301,4,5,4,4,5,4,4,4,4,3,5,5,6,6,6,6,6,5,6,5,5,5,5,4,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,2,1,1,1
304,1,2,1,1,1,4,1,4,4,6,1,6,6,6,6,6,6,6,6,6,6,6,6,2,2,1,1,2,1,2,1,6,1,1,1,2,2,1,5,1,1,1,1,2,2,1
306,4,4,4,2,3,3,2,3,1,4,1,6,6,5,6,2,4,6,5,3,4,5,6,4,4,3,3,4,1,3,2,4,2,2,2,1,2,1,1,3,1,1,2,1,2,3
307,6,6,6,1,5,5,2,5,5,6,6,6,6,6,6,6,6,5,6,3,4,3,4,4,5,2,2,3,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,3,5
308,3,2,2,1,2,2,1,2,5,3,3,4,5,6,6,6,5,6,6,5,5,6,5,5,6,5,1,1,5,5,4,5,1,1,1,1,1,1,1,1,1,2,2,1,1,2
309,4,3,4,4,4,4,4,4,4,5,4,6,6,6,6,6,6,6,6,5,4,5,5,5,6,2,1,2,1,1,1,6,1,1,1,1,1,1,3,1,2,4,1,1,2,2
310,4,5,5,3,5,4,3,5,3,4,3,6,4,6,6,6,6,6,6,3,5,6,6,3,6,3,3,4,1,4,4,5,1,1,2,1,1,1,3,1,1,2,2,1,2,1
311,3,4,3,2,4,3,5,2,2,4,4,3,5,2,5,6,6,6,6,4,4,3,4,2,6,1,3,2,1,1,2,5,2,2,4,4,2,4,4,2,3,5,5,1,4,3
312,3,2,3,3,2,2,2,2,3,3,3,4,5,4,4,5,5,6,6,3,4,4,4,3,6,2,2,2,1,1,1,6,1,1,2,1,1,1,2,1,1,2,2,1,1,1
313,1,1,2,1,2,1,1,1,3,2,5,6,6,6,6,6,6,5,6,6,6,6,6,5,2,2,2,2,4,1,1,3,2,2,2,1,1,1,2,2,2,1,1,1,2,2
314,4,5,3,2,2,4,2,5,5,5,4,2,5,5,3,6,5,6,5,5,6,6,5,3,5,2,2,2,1,1,2,6,1,1,1,1,1,1,4,1,1,3,3,1,2,1
315,3,3,3,3,3,3,3,3,4,4,4,3,4,4,3,3,3,3,3,4,3,3,3,4,5,2,2,2,1,2,1,6,2,2,2,2,1,2,1,1,1,1,1,1,2,2
316,4,4,4,4,4,4,4,4,5,3,5,6,2,5,5,4,6,6,3,6,6,6,6,5,6,2,4,3,4,4,3,4,2,1,1,2,2,1,3,2,2,1,2,1,2,2
317,4,3,3,1,3,3,1,2,1,4,4,5,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,5,5,3,6,1,1,1,1,1,1,2,1,2,2,2,1,2,1
318,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,4,3,3,3,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
319,5,5,4,2,2,4,4,3,2,2,2,2,2,2,2,5,5,5,6,1,6,6,6,1,6,5,3,5,4,4,4,3,1,1,4,1,1,1,1,1,1,4,2,4,1,4
320,4,2,4,3,2,3,3,2,5,4,5,5,5,6,3,6,6,6,6,3,6,4,6,2,3,2,3,3,5,2,1,4,1,1,1,1,1,1,1,2,1,3,4,5,5,5
322,4,5,5,1,3,4,5,3,4,3,2,4,3,4,4,6,6,6,6,1,6,6,6,3,3,5,5,5,1,5,1,2,1,1,1,1,1,1,1,1,4,1,4,1,3,3
323,6,4,6,5,2,2,5,4,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,3,1,5,4,2,1,1,1,1,2,1,1,1,1,1,3,1,3,1
324,1,1,1,1,1,1,1,1,1,4,2,2,6,6,6,6,5,6,6,6,3,6,6,3,6,1,1,1,1,1,1,6,1,1,2,1,1,1,1,1,1,1,2,1,1,1
325,4,4,3,4,3,2.93,3,4,3,3,5,4,3,6,5,4,4,4,3,4,4,3,4,4,6,1,1,1,2,1,1,6,1,1,1,1,1,1,2,1,1,1,1,1,1,1
326,5,3,4,1,1,1,1,1,6,1,1,1,3,5,6,6,6,6,6,6,6,6,6,3,6,1,1,1,2,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,2,2
327,4,3,4,3,3,4,4,3,3,5,3,4,3,4,4.51,5,3,4,5,4,5,6,3,3,6,5,2.79,5,1,1,4,4,1,4,1,2,1,1,4,1,3,1,1,1,4,1
328,4,4,4,2,2,4,2,4,3,3,3,3,3,5,5,6,6,6,6,5,5,6,6,4,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,2,2,1,1,1
330,3,1,1,1,2,2,3,2,4,5,5,4,5,4,5,2,3,6,5,4,4,3,3,3,5,2,1,2,1,2,2,6,1,1,1,1,1,1,1,1,1,1,1,1,5,1
332,1,1,1,1,1,1,1,1,1,6,1,6,6,6,6,6,6,1,1,6,1,1,1,1,6,3,3,3,3,3,3,4,1,1,3,1,1,1,3,3,3,1,1,3,3,3
333,5,5,2,1,2,1,1,1,1,2,1,2,6,6,5,6,1,6,6,2,5,6,5,4,4,5,4,4,1,1,2,5,1,1,1,2,1,1,3,4,1,2,4,1,3,3
334,4,3,3,4,4,3,4,3,4,4,3,3,3,3,4,3,3,4,3,3,4,4,3,3,3,2,4,2,2,2,2,3,4,4,4,3,3,3,4,3,4,3,3,4,3,4
336,4,2,3,2,3,4,2,3,4,5,3,4,4,3,4,6,4,6,3,3,3,3,2,3,4,2,1,2,3,1,2,6,1,2,2,2,3,1,2,2,1,3,2,1,2,2
337,1,1,1,1,1,1,1,1,6,4,4,6,6,6,6,6,6,6,5,5,5,4,6,5,6,5,5,1,1,4,2,6,1,1,1,1,1,1,1,1,1,2,2,1.43,1,3
338,4,4,3,3,3,4,4,4,4,4,3,5,6,6,3,6,6,4,6,4,1,6,6,5,6,1,5,5,2,4,3,6,1,1,1,1,1,1,1,1,1,1,1,1,2,2
339,3,2,3,4,2,3,3,2,3,5,3,5,3,4,4,3,3,3,3,4,3,3,3,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
341,1,1,1,1,2,1,1,1,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,1,6,5,5,5,5,4,4,6,1,1,5,1,1,1,5,1,1,1,1,1,2,2
342,1,2,2,1,1,1,4,1,1,1,4,3,6,6,3,6,6,6,6,6,6,6,6,3,6,5,5,5,5,5,5,6,1,1,1,1,1,1,1,1,1,1,1,1,2,2
344,1,1,1,1,1,1,1,1,1,3.47,3.22,3,5,3,4,3,4,4,3,3,2,3,2,6,4,5,4,1,5,5,5,2,2,4,3,4,1,2,2,3,2,2,3,2,3,2
345,3,3,3,3,3,3,3,3,3,4,3,6,6,6,6,5,5,4,4,4,4,4,4,4,6,4,4,4,5,3,3,5,1,1,1,1,1,1,3,3,1,3,3,3,3,3
347,1,1,1,1,1,1,1,1,6,2,4,1,2,5,5,4,4,6,6,3,6,6,6,3,6,5,5,5,1,3,3,6,1,1,1,1,1,1,1,1,1,1,5,1,1,1
348,6,2,1,1,4,4,1,4,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,5,3,3,3,1,5,1,1,1,1,3,1,1,4,4,3,2,5
349,3,4,4,1,5,2,1,2,1,3,6,3,3,6,6,6,6,5.18,5.01,3.7,4.6,4.88,4.93,3.94,4.92,2.85,2.79,3.01,2.43,2.87,2.71,4.76,1.42,1.59,1.64,1.48,1.32,1.3,2.03,1.6,1.34,1.97,2.15,1.43,2.37,2.32
351,1,5,1,1,5,1,1,5,2,6,2,3,6,6,6,5,4,5,5,4,1,5,5,6,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
