STUDENTID,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22
352,3,3,4,3,4,3,4,4,4,5,4,5,4,5,3,6,4,6,5,3,4,4,4,3,6,3,4,5,1,5,5,6,1,1,1.64,2,1,1,1,1,1,1,1,1,2,2
355,3,4,3,1,3,3,1,3,4,1,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,5,5,5,5,6,1,2,1,1,1,1,1,1,1,5,2,5,5,5
356,3,3,1,1,4,3,1,1,3,6,1,4.06,6,6,6,6,6,6,6,6,5,6,6,5,6,3,3,3,5,5,3,4,1,1,1,1,1,1,3,1,1,1,1,1,2,1
357,4,3,5,1,3,4,3,3,5,3,2,2,4,5,5,1,1,4,3,5,2,5,6,2,6,1,1,2,1,1,2,6,2,4,4,3,5,2,1,1,1,2,1,1,2,1
358,4,2,3,5,4,3,5,3,2,5,4,3,5,2,5,6,3,4,1,4,2,4,3,3,5,4,2,2,4,3,2,4,3,2,4,4,3,2,2,1,2,4,3,2,2.37,3
359,5,5,5,2,2,2,2,2,5,4,4,4,3,5,4,3,4,2,2,4,3,4,4,4,3,2.85,2,3,1,2,2,5,1,1,1.64,2,1.32,3,5,3,3,1.97,2,2,2,3
360,4,4,4,3,4,4,3,4,4,3,5,5,4,4,5,5,4,5,5,3,4,4,5,4,4,3,3,3,1,2,2,5,2,1,2,1,1,1,1,1,2,2,2,1,2,2
361,4,5,3,2,5,2,1,4,3,5,2,3,6,3,5,6,6,5,5,5,5,6,6,6,6,2,2,2,1,2,2,5,1,1,1,1,1,1,2,1,1,2,2,1,2,2
362,5,5,5,5,4,3,3,3,2,4,1,4,5,5,5,6,4,6,6,3,4,5,5,5,6,3,1,2,2,2,3,6,1,1,1,1,1,1,2,1,1,1,1,2,2,2
363,4,5,4,5,5,4,3,5,5,3,6,2,6,5,5,6,6,6,6,1,6,6,6,6,6,2,1,4,1,3,1,5,1,1,1,1,1,1,1,1,1,1,2,1,5,5
364,3,2,4,3,4,4,3,5,4,2,5,3,6,6,3,6,6,5,6,4,6,6,6,4,6,3,5,4,3,1,4,5,1,1,2,1,1,1,3,1,2,2,3,1,4,4
365,1,1,4,6,4,6,6,6,4,3,5,3,6,6,6,5,5,6,6,6,6,6,6,5,6,4,4,3,4,3,3,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
366,4,4,4,2,5,5,2,5,5,6,2,6,6,6,6,6,6,6,6,5,5,5,6,5,5,3,3,3,3,3,3,4,1,2,1,1,1,1,3,1,1,1,1,1,2,1
367,5,2,4,3,3,3,2,2,2,3,4,3,5,5,5,5,5,5,5,3,5,5,5,5,5,2,2,2,2,2,2,5,1,1,1,1,1,1,2,1,1,1,1,1,2,1
368,4,3,3,3,5,3,2,4,3,4,2,4,5,6,6,6,4,6,6,4,4,5,6,5,6,1,1,3,1,2,2,4,1,2,1,1,1,1,1,1,1,1,2,1,4,2
369,4,3,4,3,3,3,3,3,4,3,5,4,6,6,6,6,6,6,6,3,5,6,6,6,6,2,3,3,5,3,3,6,1,1,2,2,1,1,3,1,1,2,2,3,3,3
370,3,3,4,3,4,3,4,4,4,4,3,4,3,4,4,4,3,3,4,4,3,3,4,4,6,1,1,1,1,2,1,6,1,1,1,1,1,1,1,1,2,1,1,1,3,3
371,6,6,6,6,6,6,6,6,4,4,6,4,6,6,6,6,2,6,6,3,6,6,6,4,6,1,1,1,1,1,1,6,1,1,1,2,1,1,1,2,1,1,1,1,1,1
372,1,1,4,1,6,5,1,5,1,1,1,2,2,3,2,6,6,6,6,1,6,6,6,6,2,4,4,5,5,5,1,2,1,5,1,1,1,1,5,5,1,1,1,1.43,1,2
373,1,4,4,3,5,3,1,1,1,3,1,3,6,6,2,6,6,6,6,3,6,6,6,3,6,5,5,5,1,5,3,4.76,1,1,1,1,1,1,4,1,1,3,3,1,2,2
374,6,5,6,3,5,6,3,6,4,1,4,6,6,6,6,5,6,6,6,5,6,6,6,4,6,3,4,3,3,4,4,5,2,1,2,2,1,2,4,1,1,2,3,1,2,2
375,4,1,5,1,4,4,3,6,6,4,6,6,6,6,6,6,6,6,6,4,5,6,6,1,3,3,3,2,1,3,3,6,1,1,1,1,1,1,1,2,1,1,3,1,3,1
377,3,3,3,2,3,4,3,2,6,3,4,5,5,4,5,2,1,6,5,6,6,5,5,5,6,1,1,4,1,3,3,6,1,1,1,1,1,1,1,1,1,2,2,1,3,3
378,1,6,5,2,4,4,4,4,3,4,3,3,5,3,3,4,3,4,4,3,5,5,5,3,4,3,3,3,2,2,2,5,1,1,1,1,1,1,1,2,1,1,1,1,1,2
382,4,5,4,2.3,2,2,1,4,3,3,4,6,6,6,6,6,6,6,6,5,6,6,6,6,2,6,6,6,2,5,6,5,2,1,2,1,2,2,2,1,1,5,5,2,5,5
383,1,3,3,1,2,1,1,4,1,4,1,4,3,4,6,6,6,6,1,4,6,6,6,2,6,2,1,3,3,2,1,6,1,1,1,1,1,1,1,1,1,2,1,1,3,3
385,4,2,4,2.3,2,5,2,3,3,5,4,3,5,5,5,5,4,5,5,4,4,4,5,5,6,1,4,1,1,3,1,6,1,1,1,1,1,1,5,1,1,1,1,1,1,1
386,1,6,4,2,6,4,6,6,1,2,3,4,4,5,6,2,3,5,4,4,4,4,3,3,6,1,1,1,2,2,1,6,1,1,1,1,1,1,1,1,1,1,1,1,2,2
387,1,5,3,2,1,2,2,1,1,6,5,4,6,3,2,4,6,6,3,6,2,4,2,1,3,1,2,1,1,2,4,3,1,1,2,1,1,1,1,1,1,3,3,1,3,2
388,6,6,3,1,5,4,1,2,3,2,3,4,6,6,6,6,5,6,5,1,5,5,5,3,5,2,1,2,2,1,3,5,4,3,3,2,2,2,2,1,1,2,1,3,2,2
390,6,3,4,4,3,2.93,2,1,5,3,2,2,1,3,5,2,6,6,6,1,5,4,4,3,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
391,4,2,1,1,4,2,1,2,4,3,2,5,6,6,6,6,6,6,6,5,6,5,3,4,3,1,2,2,3,3,2,3,1,1,2,2,1,1,2,2,1,1,3,1,4,3
392,5,4,3,5,6,4,3,5,2,1,3,2,4,3,1,6,5,4,2,4,4.6,5,4,1,4,5,4,4,3,5,5,4,5,4,5,3,3,2,5,4,3,5,4,5,3,4
393,1,1,1,1,4,1,1,2.99,3,3,6,4,6,6,2,5,6,6,6,1,6,6,6,1,4.92,2.85,2.79,3.01,2.43,2.87,2.71,4.76,1,1,1,1,1,1,1,1,1,4,3,1,2,1
394,1,1,2,1,3,1,1,2,5,6,5,5,5,5,6,2,1,2,4,5,4.6,5,4.93,4,6,1,4,4,2,3,2,5,1,4,2,3,1,3,3,3,2,3,1,2,2,2
3,1,1,2,1,1,1,1,1,1,3,3,3,4,4,4,6,5,6,6,2,6,6,6,2,3,5,3,4,3,5,5,5,1,1,1,1,1,1,1,1,1,1,2,1.43,2,4
400,1,5,2,2,4,2,1,5,4,4,3,2,5,6,6,6,4,6,6,2,5,6,6,2,6,1,2,3,1,1,5,5,1,1,1,1,1,1,1,1,1,3,4,1,1,1
401,1,1,1,1,1,1,1,1,1,4,1,4,6,6,4,6,6,6,6,1,6,6,6,1,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,2,2
402,6,6,6,6,6,6,6,6,2,3.47,3.22,6,6,6,6,6,6,6,6,5,6,6,6,3.94,4.92,2,3,3,3,2,2,6,1,1,1,1,1,1,1,1,1,1,2.15,1,2,2
403,3,3,3,3,3,4,3,4,4,5,3,4,3,4,4,4,4,4,4,3,4,3,4,4,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
406,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,1,6,6,6,4,2,2,4,3,3,3,3,3,2,2,2,1,2,2,3,4,1,1,1,1,3,3
407,1,2,1,1,1,1,1,1,2,6,6,6,6,6,6,6,5,6,2,2,5,4,3,6,6,1,1,1,2,2,1,6,1,1,1,1,1,1,2,1,1,1,2,1,1,2
408,4,1,4,1,1,1,1,1,1,3,4,3,6,6,6,1,1,6,5,5,3,4,5,5,6,1,1,1,3,1,1,4,1,1,1,1,1,1,3,1,1,2,2,1,2,2
409,3,1,4,4,6,2,1,4,4,2,1,5,6,5,4,5,6,2,1,5,2,4,4,1,4,2,2,1,1,4,5,4,1,1,3,3,4,1.3,2.03,2,1,1,2.15,3,5,5
410,2,2,2,2,2,2,2,4,4,3.47,1,3,4,5,6,6,6,6,6,6,6,6,6,5,6,1,3,4,1,3,3,6,1,1,3,1,1,1,1,1,2,3,2,2,2,1
415,2,3,4,3,2,4,4,2,6,6,3,4,5,3,3,5,6,4,3,3,2,4,5,1,2,4,3,2,3,4,2,3,3,4,2,1.48,4,5,2,2,3,4,5,2,1,3
416,1,1,1,1,1,1,1,1,1,4,1,6,5,6,6,6,6,6,6,4,6,6,6,4,6,1,1,3,4,1,1,4,1,1,2,1,1,2,2,1,1,2,2,1,3,3
418,3,3,4,3,3,4,4,3,3,2,3,3,5,5,4,4,3,5,4,3,5,4,3,2,6,2,2,4,2,2,2,6,1,1,1,1,1,1,4,2,1,1,2,1,3,3
NA,5,1,4,4,4,4,4,4,4,3,5,5,6,6,6,6,5,6,6,5,6,5,5,2,4,5,4,5,6,6,6,6,5,3,2,4,1.32,1,2,4,1.34,3,3,1.43,4,3
NA,5,5,4,2,6,6,4,6,2,4,5,6,6,6,6,6,6,6,6,4,6,6,6,6,2,6,6,6,5,6,6,5,5,1,1,1,1.32,1,5,5,1.34,1,1,1.43,2,2
NA,4,5,5,2,5,4,4,4,6,2,6,5,6,6,6,6,5,6,5,5,6,6,6,4,1,6,5,3.01,5,5,5,6,1,5,1,1,1.32,1,2,1,1.34,1,2,1.43,3,3
NA,5,5,6,5,5,5,5,5,3.32,1,5,2,6,6,6,6,5,6,6,6,6,6,6,4,1,5,6,6,4,5,5,5,1,5,1,2,1.32,2,1,1,1.34,2,3,1.43,1,1
NA,3,2,2,3,4,1,2,4,4,3,3,6,5,6,6,6,6,6,6,6,6,6,4,2,5,5,1,6,1,5,4,6,5,1,1,1.48,1.32,1,2,2,1.34,1,5,1.43,5,5
NA,4,2,4,3,2,4,3,3,2,2,4,5,6,5,4,5,5,4,5,4,4,4,5,5,4,4,4,4,4,3,3,3,5,1,1,1,1.32,1,3,2,1.34,4,1,1.43,3,3
NA,5,6,6,4,6,5,4,6,6,5,6,6,6,6,6,6,6,6,6,3,6,6,6,6,6,6,6,4,2.43,6,4,6,2,1,1,1,1.32,1,4,1,1.34,1,1,1.43,3,3
NA,1,3,4,4,2,4,4,1,5,2,5,1,6,3,3,5,4,6,5,6,6,6,6,6,5,5,5,5,4,5,5,5,5,1,2,2,1.32,2,3,2,1.34,4,2,1.43,3,3
NA,4,2,4,1,5,3,1,4,4,4,3,4,3,3,4,5,4,5,5,4,4,4.88,3,3,4,3,3,4,3,3,4,4,1,1,1,1,1.32,1,1,1,1.34,3,1,1.43,1,1
NA,1,1,1,1,1,2,2,1,2,5,5,6,6,6,6,6,5,6,6,6,6,6,5,3,5,6,6,6,1,5,6,5,2,3,2,1,1.32,2,2,2,1.34,2,5,1.43,3,3
NA,4,2,2,1,1,1,1,1,4,6,5,6,6,6,1,6,6,6,6,6,1,5,6,6,5,6,6,3,4,6,6,3,5,5,1,1,1.32,1,2,1,1.34,3,3,1.43,2,1
NA,1,1,1,1,2,2,1,2,5,4,4,6,3,6,5,6,6,6,6,1,5,6,5,6,4,4,4,5,5,5,2,5,5,5,1,1,1.32,1,1,1,1.34,1,2,1.43,2,3
NA,1,4,4,1,3,1,1,3,4,5,1,5,3,5,1,6,5,6,6,6,5,6,6,6,4,6,6,6,4,6,6,6,1,1,2,1,1,1,4,3,1,1,3,1,5,5
NA,1,1,4,1,4,4,1,1,6,3,6,3,6,6,6,6,6,6,6,3,6,6,6,6,6,6,6,6,4,5,4,5,1,4,1,1,1,1,1,1,1,1,4,1,3,3
NA,6,6,6,4,4,6,4,5,4,4,6,6,6,6,6,6,6,6,6,3.7,5,5,6,4,6,6,6,6,5,5,5,6,1,2,1,1,1,1,2,1,1,1,1,1,2,3
NA,3,2,2,1,2,1,1,1,2,5,1,5,3,4,4,4,6,6,6,3,4,6,6,3,4,5,5,4,1,5,4,4,1,1,1,1,1,1,4,1,1,3,5,1,5,5
NA,4,1,6,1,4,1,1,4,2,4,4,5,4,6,3,4,3,5,4,4,4,5,6,1,1,4,4,5,3,5,6,4,3,2,4,3,4,3,3,1,1,1,1,1,1,1
NA,4,3,5,2,5,5,3,4,2,4,2,5,6,6,4,5,3,6,5,3,3,3,4,2,5,5,5,4,5,4,4,4,1,1,1,1,1,1,2,1,1,3,4,1,1,1
NA,1,1,1,1,2,2,1,2,1,4,1,4,4,6,6,6,6,6,6,5,6,6,6,6,5,6,6,6,1,4,3,6,1,1,1,1,1,1,1,1,1,2,4,1,2,1
NA,3,4,3,3,4,4,3,4,6,3,4,4,6,6,4,6,6,6,6,6,6,6,6,4,3,4,5,5,1,4,3,3,1,1,1,1,1,1,2,2,1,1,1,1,2,3
NA,4,2,4,4,4,4,3,3,6,3,3,3,4,4,3,3,3,5,4,4,3,6,6,6,3,4,4,4,1,3,4,3,1,1,2,2,1,1,1,3,1,1,3,1,1,2
NA,4,6,5,2,4,2,2,5,4,3,4,6,1,6,4,6,6,6,5,3,5,6,4,4,3,5,4,5,4,3,2,3,1,1,1,1,1,1,2,2,1,5,5,2,5,5
NA,4,2,4,2,1,2,1,4,3,5,1,6,5,5,6,6,6,6,6,2,6,6,5,6,5,6,5,5,3,6,5,6,1,1,2,1,1,1,3,3,1,1,2,1,3,4
NA,1,1,1,1,1,1,1,1,6,4,6,3,6,6,3,6,5,6,6,6,6,6,6,3,3,6,6,5,4,4,1,2,1,1,1,1,1,1,1,5,1,5,3,1,3,3
NA,3,5,2,2,5,2,1,4,3,5,2,5,5,6,6,6,6,6,6,2,5,6,6,5,4,6,5,6,1,6,2.71,3,1,1,1,1,1,1,2,2,1,5,5,1,1,1
NA,3,4,4,3,4,2,2,3,3,3.47,3.22,4.06,4.59,4.82,4.51,6,5,5,6,3,6,6,6,5,4.92,2.85,2.79,5,3,3,4,4.76,1,1,2,1,2,1,1,1,1,2,2,1,1,1
NA,5,2,3,4,2,3,5,2,4,3,3,2,1,2,4,5,3,5,5,4,2,6,6,5,2,4,3,4,2,3,4,5,1,4,3,1,1,2,1,1,4,1,1,1,5,1
NA,4,4,2,1,4,4,1,4,6,6,4,6,6,6,6,6,6,6,2,3,6,6,6,4,6,6,2.79,6,5,5,5,5,1,1,2,1,1,1,5,1,1,3,1,1,2,3
NA,3,1,1,1,1,1,1,1,1,5,1,6,6,6,3,6,4,6,6,3,6,6,6,6,6,6,6,6,2.43,6,5,5,1,1,1,5,2,2,2,3,2,2,2,1,5,1
NA,2,4,3,4,5,2,4,5,5,5,4,6,4,6,3,6,6,6,6,6,5,5,5,4,2,4,3,4,6,3,3,2,1,1,3,1,1,1,4,4,2,5,3,1,4,4
NA,2,1,3,1,4,2,1,2,4,3.47,4,6,3,6,3,5,5,6,5,3,5,6,6,6,5,5,5,6,6,5,4,5,1,1,2,1,1,1,2,1,2,1,5,2,2,3
NA,2,3,4,5,2,4,4,4,2,4,3,4,5,5,4,5,4,6,2,2,4,6,6,3,3,4,5,6,3,4,4,3,1,1,1,1,1,1,3,3,1,1,1,1,1,2
NA,2,3,3,2,2,2,3,3,3,3,4,3,4,2,3,1,3,3,6,6,5,6,6,6,6,3,4,4,4,6,6,5,2,3,3,3,1,1,2,2,1,1,2.15,5,2,1
NA,1,1,1,1,1,1,1,1,3.32,1,3,6,5,6,6,6,1,6,6,3,6,6,6,5,6,5,3,1,6,4,1,1,1,2,3,3,5,1,4,3,4,2,2.15,2,2,4
NA,5,5,4,1,5,3,2,5,1,1,2,4.06,2,3,2,6,6,6,6,1,5,5,6,6,1,5,5,6,5,6,4,2,1,1,1,1,1,1,1,1,1,5,4,1,1,1
NA,2,5,1,4,3.11,5,1,6,6,5,4,6,6,5,6,6,6,6,5,6,6,6,6,4,5,6,6,5,3,5,4,5,1,1,3,1,1,1,5,1,2,2,2,1,3,3
NA,3,2,3,1,2,3,1,1,1,6,1,2,6,6,6,6,5,6,6,6,4,6,6,6,4,6,5,1,6,6,6,6,1,2,3,1,1,1,2,2,1,1,1,1,1,1
NA,4,4,1,1,3,6,1,2,1,5,1,4,4,5,5,5,5,6,6,5,5,5,5,5,5,6,6,3,1,1,2,4,1,1,1,1,1,1,1,1,1,5,3,1,4,4
NA,4,3,4,3,4,3,2,3,4,4,5,4,4,4,4.51,6,5,5,5,2,6,6,6,5,4,5,5,6,1,5,5,4,3,4,1,4,3,4,4,3,2,2,4,1,5,4
NA,2,5,1,1,5,1,1,4,1,3,1,4,6,2,6,6,1,6,6,3.7,3,6,5,6,6,6,6,4,5,4,2,4,4,3,5,5,3,1,2.03,5,2,4,2,5,2,5
NA,1,1,1,3,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,5,6,6,6,6,1,1,1,1,1,1,2,3,1,5,5,1,3,3
NA,1,2,1,1,3,1,1,3,3.32,5,2,3,6,6,5,6,5,6,6,5,5,6,6,6,6,6,5,6,4,6,6,6,1,1,2,1,1,1,1,1,1,1,1,1,2,2
NA,5,6,4,3,5,4,3,4,5,3,5,5,4,6,6,4,4,5,4,3,6,6,6,3,3,4,5,4,5,4,4,3,1,1,2,1,1,1,2,1,1,1,5,1,2,2
NA,4,4,4,2,5,1,1,3,2,3,1,2,6,5,4,6,6,6,6,6,6,6,6,5,4,6,5,1,5,6,5,6,1,1,2,1,2,1,4,1,1,5,3,1,5,5
NA,1,1,1,1,2,6,6,5,3,2,1,1,2,3,3,6,6,6,6,3.7,5,6,6,6,4.92,6,5,6,3,5,6,2,1,1,2,1,1.32,1.3,2.03,1.6,1.34,1.97,2.15,1.43,2.37,2.32
NA,1,1,1,1,1,1,1,1,1,3,1,5,2,4,2,6,6,6,6,2,6,6,6,1,4,5,6,5,4,5,4,3,1,1,1,1,1,1,1,2,2,2,3,1,2,4
NA,2,4,2,3,5,4,3,4,6,2,4,3,3,5,3,5,6,6,5,3,5,5,6,5,4,5,5,4,4,6,5,6,1,1,1,1,2,1,3,1,1,4,5,1,2,4
NA,1,4,1,1,3,1,1,4,3,3,1,5,5,6,2,6,6,6,6,4,6,5,5,4,2,5,5,4,3,4,3,3,1,1,1,1,1,1,1,1,2,3,5,1,3,3
NA,6,4,6,1,5,6,1,5,6,2,5,4,6,6,3,6,5,6,6,6,6,6,4,6,3,4,5,1,6,2,4,6,2,3,2,1,1,1,1,2,2,1,5,1,1,5
